  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              10.9154           1800                  73                   28
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
           88               26787                204               11  0.8%                            753
           89               26372                117                6  0.4%                            358
           90               27270                 60                6  0.2%                            270
           91               26537                125                5  0.5%                            193
           92               25656                105                4  0.4%                            264
           93               26414                208                8  0.8%                            316
           94               26450                 90                5  0.3%                            280
           95               27713                 78                5  0.3%                            637
           96               26358                 59                2  0.2%                            372
           97               26932                374                9  1.4%                           1643
           98               27269                 45                1  0.2%                           1891
           99               26147                591               10  2.2%                           2368
          100               26254                433               15  1.6%                            476
          101               27038                  8                1  0.0%                           2122
          102               26954                591               14  2.1%                           2206
          103               27698                 12                1  0.0%                           1462
          104               27491                134                4  0.5%                           1669
          105               26010                575               14  2.2%                           2430
          106               26065                 60                1  0.2%                            665
          107               26678                 73                1  0.3%                           2482
          108               27036                 54                2  0.2%                           2124
          109               26185                 55                4  0.2%                            545
          110               26565                 94                4  0.4%                            165
          111               26762                 39                1  0.1%                           1888
          112               27366                973               18  3.4%                           1929
          113               27148               2255               50  7.7%                           1727
          114               27292               2251               53  7.6%                           1583
          115               27475                 50                1  0.2%                           1775
          116               27806                 17                1  0.1%                           1444
          117               26535                731               18  2.7%                           1350
