  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
               10.033           1800                 351                   24
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
           86               27057                121                8  0.4%                            483
           87               27073                130                5  0.5%                            467
           88               26723                 44                4  0.2%                            817
           89               26650                103                5  0.4%                             80
           90               27084                 70                3  0.3%                            456
           91               27835                 41                3  0.1%                            515
           92               26531                 53                3  0.2%                            199
           93               26025                 53                2  0.2%                            705
           94               27117                 60                6  0.2%                            423
           95               26869                 70                6  0.3%                            671
           96               27308                 69                5  0.3%                            232
           97               27066                 26                2  0.1%                           2094
           98               27217                 40                2  0.1%                           1943
           99               26885                 66                1  0.2%                           2275
          100               27255                 51                5  0.2%                           1905
          101               27540                 47                3  0.2%                           1620
          102               27300                 55                3  0.2%                           1860
          103               26008                 52                2  0.2%                            722
          104               26478                 73                2  0.3%                            252
          105               27176                 78                2  0.3%                           1984
          106               26952                 40                2  0.1%                           2208
          107               27474                 49                3  0.2%                           1686
          108               26369                  9                1  0.0%                            361
          109               26061                 45                2  0.2%                            669
          110               26626                 50                2  0.2%                           2534
          111               26367                 84                1  0.3%                           2283
          112               27595                120                2  0.4%                           1055
          113               27299               1653               36  5.7%                           1576
          114               27920               1742               34  5.9%                            955
          115               28468                 39                2  0.1%                            782
          116               28460                  8                1  0.0%                            790
          117               27312                 85                1  0.3%                           1938
