  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              9.47208           1800                 156                   29
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
           86               27195                 93                7  0.3%                            345
           87               26271                 70                6  0.3%                            459
           88               27372                136                5  0.5%                            168
           89               26904                 74                5  0.3%                            636
           90               26100                 67                3  0.3%                            630
           91               27066                 56                4  0.2%                            474
           92               26474                 72                5  0.3%                            256
           93               27758                 89                3  0.3%                            592
           94               27496                 68                4  0.2%                            854
           95               26388                 17                2  0.1%                            342
           96               26126                 55                3  0.2%                            604
           97               26945                104                2  0.4%                           2215
           98               27108                 57                1  0.2%                           2052
           99               26831                 54                2  0.2%                           2329
          100               26254                 78                2  0.3%                            476
          101               27264                 81                2  0.3%                           1896
          102               26138                 31                2  0.1%                            592
          103               27118                 60                1  0.2%                           2042
          104               27541                 81                3  0.3%                           1619
          105               27579                 76                3  0.3%                           1581
          106               25674                 55                2  0.2%                           1056
          107               26298                 62                2  0.2%                            432
          108               26792                 51                2  0.2%                           2368
          109               27414                 65                2  0.2%                           1746
          110               25960                 84                2  0.3%                            770
          111               25714                 48                1  0.2%                           2936
          112               26814                 71                1  0.3%                           1836
          113               27821               1373               30  4.7%                           1054
          114               27546               1374               35  4.8%                           1329
          115               27277                 13                1  0.0%                           1973
          116               27740                  8                1  0.0%                           1510
          117               28494                 47                3  0.2%                            756
