  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              8.05389           1800                  68                   34
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
           88               25873                494               13  1.9%                            857
           89               26811                 83                7  0.3%                            729
           90               25953                602               16  2.3%                            777
           91               25630                570               14  2.2%                            290
           92               27525                113                6  0.4%                            825
           93               27338                528               16  1.9%                            202
           94               26217                449               15  1.7%                            513
           95               25920                107                5  0.4%                            810
           96               26809                109                7  0.4%                            731
           97               27372                 76                2  0.3%                           1788
           98               26601                127                4  0.5%                           2559
           99               26543                114                4  0.4%                            187
          100               27327                 81                2  0.3%                           1833
          101               27365                472               15  1.7%                           1060
          102               26026                672               14  2.5%                            704
          103               25769                516               13  2.0%                            961
          104               26794                834               15  3.0%                            851
          105               27762                106                3  0.4%                           1398
          106               26848                105                3  0.4%                           2312
          107               26778                 35                2  0.1%                           2382
          108               26299                525               14  2.0%                           1841
          109               26498                885               20  3.2%                            232
          110               25909                789               14  3.0%                            821
          111               27447                794               19  2.8%                           1203
          112               27145                106                3  0.4%                           1505
          113               27406               2238               53  7.5%                           1469
          114               28044               1967               40  6.6%                            831
          115               28379                 48                1  0.2%                            871
          116               27564                 49                1  0.2%                           1686
          117               27584                842               17  3.0%                           1666
