0.99	0.99	0.6	200	0.0
0.99	0.99	1.0	200	0.0
0.99	0.99	1.4	200	0.0
0.99	0.99	1.8	200	0.0
0.99	0.99	2.2	200	0.0
0.99	0.95	0.6	200	0.0
0.99	0.95	1.0	200	0.0
0.99	0.95	1.4	200	0.0
0.99	0.95	1.8	200	0.0
0.99	0.95	2.2	200	0.0
0.99	0.9	0.6	200	0.0
0.99	0.9	1.0	200	0.0
0.99	0.9	1.4	200	0.0
0.99	0.9	1.8	200	0.0
0.99	0.9	2.2	200	0.0
0.95	0.99	0.6	200	0.0
0.95	0.99	1.0	200	0.0
0.95	0.99	1.4	200	0.0
0.95	0.99	1.8	200	0.0
0.95	0.99	2.2	200	0.0
0.95	0.95	0.6	200	0.0
0.95	0.95	1.0	200	0.0
0.95	0.95	1.4	200	0.0
0.95	0.95	1.8	200	0.0
0.95	0.95	2.2	200	0.0
0.95	0.9	0.6	200	0.0
0.95	0.9	1.0	200	0.0
0.95	0.9	1.4	200	0.0
0.95	0.9	1.8	200	0.0
0.95	0.9	2.2	200	0.0
0.9	0.99	0.6	200	0.0
0.9	0.99	1.0	200	0.0
0.9	0.99	1.4	200	0.0
0.9	0.99	1.8	200	0.0
0.9	0.99	2.2	200	0.0
0.9	0.95	0.6	200	0.0
0.9	0.95	1.0	200	0.0
0.9	0.95	1.4	200	0.0
0.9	0.95	1.8	200	0.0
0.9	0.95	2.2	200	0.0
0.9	0.9	0.6	200	0.0
0.9	0.9	1.0	200	0.0
0.9	0.9	1.4	200	0.0
0.9	0.9	1.8	200	0.0
0.9	0.9	2.2	200	0.0
