  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
               13.918           1800                 345                   19
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
           86               27605                 29                2  0.1%                            745
           87               26294                 64                6  0.2%                            436
           88               25620                 16                2  0.1%                            300
           89               26573                 79                2  0.3%                            157
           90               25962                 72                4  0.3%                            768
           91               27190                121                6  0.4%                            350
           92               26173                 41                4  0.2%                            557
           93               26608                 89                6  0.3%                            122
           94               27209                 77                4  0.3%                            331
           95               27437                135                8  0.5%                            103
           96               26718                 66                5  0.2%                            822
           97               27204                 80                2  0.3%                           1956
           98               26009                 25                1  0.1%                            721
           99               27888                 33                1  0.1%                           1272
          100               26207                 64                3  0.2%                            523
          101               25808                168                4  0.6%                            922
          102               26617                 80                4  0.3%                           2543
          103               26448                 47                3  0.2%                            282
          104               27167                 62                3  0.2%                           1993
          105               25668                 33                2  0.1%                           1062
          106               26367                 63                2  0.2%                            363
          107               27215                 81                3  0.3%                           1945
          108               26513                 31                3  0.1%                            217
          109               26922                 75                2  0.3%                           2238
          110               27160                 53                2  0.2%                           2000
          111               28214                 33                1  0.1%                            436
          112               26526                 40                1  0.2%                           2124
          113               28272               1291               32  4.4%                            603
          114               27505               1391               37  4.8%                           1370
          115               27344                 76                1  0.3%                           1906
          116               27501                 42                1  0.2%                           1749
          117               27769                 75                2  0.3%                           1481
